feedback_id,event_id,student_id,rating,feedback_text,sentiment
FB00001,E019,S0469,2,"Overall, The workshop covered the expected topics.",NEUTRAL
FB00002,E032,S0217,5,"In my opinion, The session was well organized and useful.",POSITIVE
FB00003,E052,S0045,5,The content was interesting and engaging.,POSITIVE
FB00004,E075,S0486,3,"For this event, The session was satisfactory.",NEUTRAL
FB00005,E026,S0444,3,"From my experience, The workshop covered the expected topics.",NEUTRAL
FB00006,E100,S0114,4,"In my opinion, The event was very helpful for my studies.",POSITIVE
FB00007,E098,S0363,2,"Overall, The event started very late.",NEGATIVE
FB00008,E019,S0368,3,"Overall, The session was average.",NEUTRAL
FB00009,E069,S0200,4,"Overall, The session was well organized and useful.",POSITIVE
FB00010,E080,S0394,5,"In my opinion, The workshop was excellent and very informative.",POSITIVE
FB00011,E067,S0473,5,"Overall, The content was interesting and engaging.",POSITIVE
FB00012,E088,S0145,2,The content was as expected.,NEUTRAL
FB00013,E095,S0217,5,The workshop was excellent and very informative.,POSITIVE
FB00014,E040,S0363,4,"For this event, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00015,E067,S0318,4,"For this event, The speaker explained the concepts clearly.",POSITIVE
FB00016,E053,S0428,3,The event was neither good nor bad.,NEUTRAL
FB00017,E023,S0020,4,"In my opinion, The session was well organized and useful.",POSITIVE
FB00018,E003,S0468,5,"For this event, The event was very helpful for my studies.",POSITIVE
FB00019,E091,S0281,2,"For this event, The session was average.",NEUTRAL
FB00020,E093,S0024,3,"In my opinion, The workshop covered the expected topics.",NEUTRAL
FB00021,E093,S0066,3,"For this event, The session was average.",NEUTRAL
FB00022,E072,S0320,2,"From my experience, The event started very late.",NEGATIVE
FB00023,E010,S0226,2,"From my experience, The event was fine.",NEUTRAL
FB00024,E021,S0005,2,The event was neither good nor bad.,NEUTRAL
FB00025,E078,S0311,2,"From my experience, The content was as expected.",NEUTRAL
FB00026,E025,S0258,4,"From my experience, The speaker explained the concepts clearly.",POSITIVE
FB00027,E065,S0321,5,"In my opinion, I really enjoyed this event and learned a lot.",POSITIVE
FB00028,E070,S0309,5,"For this event, The speaker explained the concepts clearly.",POSITIVE
FB00029,E007,S0335,5,I really enjoyed this event and learned a lot.,POSITIVE
