student_id,total_registrations,total_attendance,attendance_rate,technical_events,cultural_events,sports_events,workshop_events,hackathon_events,seminar_events,event_views,event_likes,cancellations,average_feedback_rating
S0001,13,10,0.769,6,2,2,3,0,0,16,12,0,3.28
S0002,26,21,0.808,3,0,3,9,8,3,31,30,1,4.53
S0003,29,26,0.897,10,3,2,6,7,1,76,28,1,4.98
S0004,28,24,0.857,9,1,2,4,4,8,38,35,0,4.62
S0005,13,9,0.692,1,4,2,3,2,1,39,8,0,3.94
S0006,13,10,0.769,5,2,2,0,2,2,37,11,3,4.3
S0007,6,6,1.0,0,0,2,1,1,2,18,10,0,3.58
S0008,24,23,0.958,5,1,1,9,3,5,36,18,1,4.2
S0009,15,14,0.933,4,0,0,6,4,1,76,23,1,4.67
S0010,8,8,1.0,4,0,1,1,0,2,16,3,0,3.86
S0011,3,1,0.333,0,1,0,1,1,0,12,1,1,2.94
S0012,12,8,0.667,0,2,2,5,1,2,16,3,0,4.04
S0013,6,6,1.0,2,1,0,0,3,0,21,10,2,3.62
S0014,7,5,0.714,5,0,0,1,1,0,14,3,3,3.55
S0015,10,8,0.8,2,3,1,2,1,1,15,9,1,4.19
S0016,6,6,1.0,1,0,2,1,0,2,36,8,1,4.32
S0017,1,0,0.0,0,0,0,1,0,0,7,1,0,3.51
S0018,2,0,0.0,2,0,0,0,0,0,4,3,0,3.99
S0019,12,10,0.833,6,2,1,3,0,0,12,5,1,4.37
S0020,4,2,0.5,0,2,1,1,0,0,14,0,1,2.51
S0021,1,1,1.0,0,1,0,0,0,0,14,4,0,3.05
S0022,8,6,0.75,4,1,0,1,1,1,31,8,2,3.83
S0023,26,23,0.885,7,4,4,7,2,2,48,13,0,4.57
S0024,5,3,0.6,0,1,1,1,0,2,5,2,3,2.61
S0025,11,8,0.727,3,1,1,4,2,0,17,10,0,4.07
S0026,5,4,0.8,0,0,2,1,0,2,10,2,0,3.42
S0027,8,7,0.875,0,2,1,3,1,1,37,4,0,3.95
S0028,4,4,1.0,1,1,2,0,0,0,15,5,1,2.99
S0029,11,11,1.0,7,1,0,1,0,2,29,5,1,4.14
S0030,12,10,0.833,5,0,3,2,0,2,35,7,0,3.76
S0031,1,0,0.0,0,1,0,0,0,0,5,0,1,3.61
S0032,15,12,0.8,2,1,4,3,2,3,14,8,0,3.35
S0033,5,3,0.6,1,2,0,1,0,1,1,5,0,3.1
S0034,6,5,0.833,4,1,0,0,1,0,22,6,1,4.43
S0035,6,5,0.833,4,1,0,1,0,0,28,13,2,3.7
S0036,2,2,1.0,0,1,0,0,0,1,2,2,0,3.48
S0037,7,5,0.714,1,0,2,1,3,0,38,10,1,4.24
S0038,7,6,0.857,2,2,1,2,0,0,33,9,2,4.32
S0039,28,25,0.893,6,5,3,6,2,6,54,31,0,3.92
S0040,9,7,0.778,3,1,3,0,0,2,24,7,0,3.98
S0041,24,24,1.0,7,0,1,9,3,4,60,35,1,4.87
S0042,5,4,0.8,1,1,1,2,0,0,9,1,2,2.72
S0043,15,11,0.733,3,2,1,4,1,4,54,22,1,4.25
S0044,3,2,0.667,1,1,1,0,0,0,2,3,0,3.61
S0045,14,12,0.857,8,0,3,3,0,0,26,11,2,3.49
S0046,20,16,0.8,7,2,2,4,2,3,66,13,1,4.96
S0047,12,12,1.0,4,2,1,3,1,1,21,12,3,4.36
S0048,7,6,0.857,0,1,1,2,1,2,14,11,0,3.79
S0049,3,1,0.333,0,3,0,0,0,0,2,2,1,3.42
S0050,27,26,0.963,7,2,2,11,1,4,62,31,2,4.98
S0051,16,16,1.0,7,5,3,1,0,0,30,30,0,4.84
S0052,10,7,0.7,2,1,1,2,2,2,28,3,0,3.47
S0053,2,1,0.5,1,1,0,0,0,0,6,5,1,2.96
S0054,3,2,0.667,0,0,0,1,1,1,15,4,1,3.56
S0055,8,5,0.625,2,2,2,0,0,2,29,11,1,4.22
S0056,24,21,0.875,7,1,2,6,4,4,49,33,0,4.54
S0057,11,8,0.727,5,1,3,1,0,1,13,10,1,3.74
S0058,16,15,0.938,5,2,0,4,3,2,51,30,1,4.44
S0059,1,0,0.0,0,1,0,0,0,0,8,5,0,3.07
S0060,3,3,1.0,1,1,0,0,0,1,15,5,0,3.64
S0061,12,9,0.75,4,1,1,3,0,3,24,14,0,3.78
S0062,12,11,0.917,4,1,2,3,1,1,39,14,0,3.65
S0063,13,10,0.769,6,2,0,3,0,2,21,5,1,3.64
S0064,19,19,1.0,5,1,0,8,4,1,35,15,0,3.99
S0065,13,9,0.692,6,3,0,3,1,0,33,8,1,4.46
S0066,29,26,0.897,15,2,0,7,2,3,55,28,2,4.05
S0067,11,8,0.727,3,2,1,2,0,3,20,6,0,3.97
S0068,9,8,0.889,3,1,1,1,2,1,14,11,1,3.97
S0069,28,23,0.821,13,2,0,7,2,4,40,18,0,4.26
S0070,8,7,0.875,2,3,0,1,1,1,14,5,1,3.88
S0071,8,6,0.75,2,1,1,3,0,1,10,9,0,3.95
S0072,11,6,0.545,5,2,1,0,2,1,16,5,0,3.38
S0073,1,0,0.0,0,1,0,0,0,0,11,0,0,3.35
S0074,11,9,0.818,3,2,1,3,1,1,24,6,1,3.99
S0075,3,1,0.333,0,2,0,0,0,1,4,1,0,3.02
S0076,26,21,0.808,12,3,1,5,1,4,69,27,1,3.82
S0077,15,11,0.733,3,4,3,4,0,1,40,12,0,3.3
S0078,4,4,1.0,1,1,0,1,1,0,9,0,1,3.28
S0079,1,1,1.0,0,0,1,0,0,0,4,0,1,3.88
S0080,8,7,0.875,2,2,0,3,0,1,34,9,0,3.24
S0081,6,3,0.5,5,0,0,1,0,0,26,6,0,3.31
S0082,13,8,0.615,6,2,1,1,1,2,39,15,1,3.69
S0083,6,5,0.833,3,2,0,1,0,0,15,5,0,3.44
S0084,6,6,1.0,2,0,0,2,1,1,37,4,1,3.73
S0085,10,9,0.9,2,3,2,1,1,1,10,14,0,3.33
S0086,10,8,0.8,2,0,1,3,1,3,32,4,0,3.31
S0087,29,26,0.897,5,4,2,10,5,3,40,19,2,4.24
S0088,17,13,0.765,6,2,2,3,4,0,51,21,0,4.84
S0089,13,9,0.692,4,1,3,2,2,1,34,9,0,4.04
S0090,30,29,0.967,11,3,1,3,8,4,65,18,0,4.47
S0091,20,17,0.85,7,2,1,6,2,2,63,21,1,4.39
S0092,11,8,0.727,3,1,1,2,1,3,28,7,1,3.52
S0093,7,6,0.857,1,1,0,1,3,1,33,8,0,3.83
S0094,25,23,0.92,10,1,2,5,4,3,55,11,0,3.89
S0095,19,19,1.0,4,3,0,8,2,2,80,15,1,4.23
S0096,3,1,0.333,1,0,1,0,1,0,5,0,1,3.54
S0097,29,29,1.0,10,1,1,9,5,3,45,16,6,4.47
S0098,3,0,0.0,0,2,1,0,0,0,2,5,0,3.18
S0099,7,4,0.571,2,2,1,1,1,0,20,10,0,3.73
S0100,15,10,0.667,0,2,2,3,1,7,11,9,1,4.49
S0101,5,2,0.4,2,3,0,0,0,0,13,5,1,3.44
S0102,14,12,0.857,4,2,3,2,1,2,29,7,2,3.2
S0103,10,5,0.5,6,2,0,1,1,0,18,3,0,3.36
S0104,22,20,0.909,6,4,2,5,2,3,42,11,0,4.99
S0105,2,1,0.5,1,1,0,0,0,0,9,0,1,3.74
S0106,1,0,0.0,0,1,0,0,0,0,10,0,0,3.09
S0107,3,2,0.667,1,0,2,0,0,0,8,4,0,3.39
S0108,14,13,0.929,7,2,1,3,0,1,11,14,0,3.63
S0109,15,12,0.8,9,0,3,1,2,0,14,14,0,4.36
S0110,13,10,0.769,6,2,2,1,1,1,36,15,0,4.34
S0111,23,18,0.783,12,1,2,0,3,5,65,15,0,4.86
S0112,2,1,0.5,0,1,1,0,0,0,14,4,0,2.51
S0113,7,5,0.714,3,1,2,1,0,0,33,15,1,3.34
S0114,10,9,0.9,2,2,0,3,1,2,13,6,1,3.29
S0115,7,4,0.571,2,1,0,1,1,2,24,15,0,4.04
S0116,25,22,0.88,8,1,1,9,2,4,55,11,0,5.0
S0117,2,1,0.5,1,0,1,0,0,0,4,5,0,3.8
S0118,19,17,0.895,6,3,0,3,6,1,35,28,0,4.98
S0119,7,4,0.571,4,1,1,0,1,0,25,13,2,3.44
S0120,10,6,0.6,0,3,2,3,1,1,35,5,0,3.8
S0121,4,4,1.0,0,2,0,0,0,2,6,4,0,3.7
S0122,11,9,0.818,1,2,0,5,3,0,22,11,2,4.21
S0123,4,2,0.5,0,1,0,0,1,2,10,1,0,3.28
S0124,2,1,0.5,1,0,1,0,0,0,2,1,0,3.51
S0125,14,13,0.929,5,3,2,2,1,1,18,4,3,4.43
S0126,11,7,0.636,3,3,1,2,1,1,35,5,0,3.41
S0127,8,4,0.5,3,1,1,1,0,2,13,15,0,4.23
S0128,23,21,0.913,7,1,3,4,2,6,57,19,1,4.06
S0129,13,11,0.846,1,4,2,3,2,1,13,14,1,4.48
S0130,7,5,0.714,1,1,1,2,1,1,13,8,1,4.49
S0131,2,1,0.5,0,2,0,0,0,0,14,1,0,3.96
S0132,11,7,0.636,2,3,1,3,2,0,24,10,1,4.06
S0133,1,0,0.0,0,0,0,1,0,0,8,3,1,3.18
S0134,14,11,0.786,3,1,0,4,3,3,29,10,1,4.12
S0135,6,4,0.667,2,0,3,1,0,0,33,14,1,3.93
S0136,2,2,1.0,0,1,0,0,1,0,7,2,0,3.9
S0137,25,25,1.0,7,2,1,7,6,2,54,27,3,4.5
S0138,4,2,0.5,0,2,1,1,0,0,10,3,1,3.95
S0139,2,1,0.5,0,2,0,0,0,0,7,1,0,2.53
S0140,15,15,1.0,4,1,1,5,3,1,37,34,1,4.61
S0141,7,5,0.714,3,0,0,3,1,0,40,11,1,4.49
S0142,9,7,0.778,3,2,0,2,0,2,15,4,1,4.24
S0143,15,12,0.8,3,2,1,7,1,1,30,5,1,3.78
S0144,15,11,0.733,7,4,2,2,0,0,18,5,1,4.44
S0145,5,4,0.8,1,3,0,0,0,1,4,2,1,3.72
S0146,14,10,0.714,2,3,1,5,1,2,28,6,3,3.66
S0147,17,15,0.882,10,1,1,1,1,3,71,13,1,4.28
S0148,12,10,0.833,3,0,3,3,1,2,26,12,0,4.39
S0149,5,3,0.6,0,2,1,2,0,0,6,4,2,2.84
S0150,30,27,0.9,13,2,3,7,4,1,56,14,1,4.68
S0151,10,9,0.9,1,0,2,3,2,2,12,14,2,3.48
S0152,5,3,0.6,1,1,1,1,1,0,14,0,3,2.7
S0153,26,22,0.846,11,1,2,6,3,3,33,35,0,4.89
S0154,11,9,0.818,5,1,1,1,2,1,13,15,1,3.29
S0155,15,12,0.8,5,3,1,5,0,1,15,4,4,4.06
S0156,27,24,0.889,9,3,0,6,1,8,76,34,0,4.29
S0157,12,10,0.833,4,3,1,2,0,2,17,8,4,4.41
S0158,6,4,0.667,1,0,1,2,0,2,21,8,0,3.28
S0159,1,1,1.0,0,1,0,0,0,0,4,5,0,3.4
S0160,11,8,0.727,4,2,2,1,1,1,29,12,1,3.72
S0161,4,2,0.5,0,3,0,1,0,0,15,4,0,2.73
S0162,11,9,0.818,2,2,1,4,1,1,40,3,1,4.19
S0163,2,1,0.5,0,1,1,0,0,0,15,3,0,3.67
S0164,27,26,0.963,7,0,3,8,7,2,35,20,1,4.58
S0165,27,24,0.889,6,3,1,6,5,6,44,18,1,4.0
S0166,9,3,0.333,3,1,1,3,1,0,26,7,1,3.6
S0167,8,7,0.875,4,0,1,2,0,1,37,8,1,4.15
S0168,15,11,0.733,7,2,0,5,0,1,33,9,1,3.62
S0169,6,5,0.833,2,0,0,1,1,2,40,7,1,3.33
